Z,Element,Polarizability
1,H,4.50711
2,He,1.38375
3,Li,164.1125
4,Be,37.74
5,B,20.5
6,C,11.3
7,N,7.4
8,O,5.3
9,F,3.74
10,Ne,2.6611
11,Na,162.7
12,Mg,71.2
13,Al,57.8
14,Si,37.3
15,P,25
16,Si,19.4
17,Cl,14.6
18,Ar,11.083
19,K,289.7
20,Ca,160.8
21,Sc,97
22,Ti,100
23,V,87
24,Cr,83
25,Mn,68
26,Fe,62
27,Co,55
28,Ni,49
29,Cu,46.5
30,Zn,38.67
31,Ga,50
32,Ge,40
33,As,30
34,Se,28.9
35,Br,21
36,Kr,16.78
37,Rb,319.8
38,Sr,197.2
39,Y,162
40,Zr,112
41,Vb,98
42,Mo,87
43,Tc,79
44,Ru,72
45,Rh,66
46,Pd,26.14
47,Ag,55
48,Cd,46
49,In,65
50,Sn,53
51,Sb,43
52,Te,38
53,I,32.9
54,Xe,27.32
55,Cs,400.9
56,Ba,272
57,La,215
58,Ce,205
59,Pr,216
60,Nd,208
61,Pm,200
62,Sm,192
63,Eu,184
64,Gd,158
65,Tb,170
66,Dy,163
67,Ho,156
68,Er,150
69,Tm,144
70,Yb,139
71,Lu,137
72,Hf,103
73,Ta,74
74,W,68
75,Re,62
76,Os,57
77,Ir,54
78,Pt,48
79,Au,36
80,Hg,33.91
81,Tl,50
82,Pb,47
83,Bi,48
84,Po,44
85,At,42
86,Rn,35
87,Fr,317.8
88,Ra,246
89,Ac,203
90,Th,217
91,Pa,154
92,U,129
93,Np,151
94,Pu,132
95,Am,131
96,Cm,144
97,Bk,125
98,Cf,122
99,Es,118
100,Fm,113
101,Md,109
102,No,110
103,Lr,320
104,Rf,112
105,Db,42
106,Sg,40
107,Bh,38
108,Hs,36
109,Mt,34
110,Ds,32
111,Rg,32
112,Cn,28
113,Nh,29
114,Fl,31
115,Mc,71
116,Lv,
117,Ts,76
118,Og,58
119,Uue,169
120,Ubn,159
